Iter:10	 Temp:6.5	 My:-8.0	 Time:2894	 ResultTime:2894	 Fitness:-4	 GlobIt:1911
Iter:10	 Temp:6.5	 My:-8.0	 Time:3944	 ResultTime:3942	 Fitness:-4	 GlobIt:2611
Iter:10	 Temp:6.5	 My:-8.0	 Time:2019	 ResultTime:2017	 Fitness:-4	 GlobIt:1330
Iter:10	 Temp:6.5	 My:-8.0	 Time:3047	 ResultTime:3047	 Fitness:-4	 GlobIt:2003
Iter:10	 Temp:6.5	 My:-8.0	 Time:1139	 ResultTime:1139	 Fitness:-4	 GlobIt:749
Iter:10	 Temp:6.5	 My:-8.0	 Time:2814	 ResultTime:2814	 Fitness:-4	 GlobIt:1872
Iter:10	 Temp:6.5	 My:-8.0	 Time:1191	 ResultTime:1191	 Fitness:-4	 GlobIt:792
Iter:10	 Temp:6.5	 My:-8.0	 Time:2509	 ResultTime:2507	 Fitness:-4	 GlobIt:1658
Iter:10	 Temp:6.5	 My:-8.0	 Time:1425	 ResultTime:1425	 Fitness:-4	 GlobIt:946
Iter:10	 Temp:6.5	 My:-9.0	 Time:2118	 ResultTime:2118	 Fitness:-4	 GlobIt:1389
Iter:10	 Temp:6.5	 My:-9.0	 Time:2169	 ResultTime:2167	 Fitness:-4	 GlobIt:1434
Iter:10	 Temp:6.5	 My:-9.0	 Time:5816	 ResultTime:5816	 Fitness:-4	 GlobIt:3854
Iter:10	 Temp:6.5	 My:-9.0	 Time:3296	 ResultTime:3296	 Fitness:-4	 GlobIt:2187
Iter:10	 Temp:6.5	 My:-9.0	 Time:3944	 ResultTime:3944	 Fitness:-4	 GlobIt:2612
Iter:10	 Temp:6.5	 My:-9.0	 Time:5288	 ResultTime:5288	 Fitness:-3	 GlobIt:3499
Iter:10	 Temp:6.5	 My:-9.0	 Time:3586	 ResultTime:3584	 Fitness:-4	 GlobIt:2373
Iter:10	 Temp:6.5	 My:-9.0	 Time:3067	 ResultTime:3067	 Fitness:-4	 GlobIt:2032
Iter:10	 Temp:6.5	 My:-9.0	 Time:2788	 ResultTime:2788	 Fitness:-4	 GlobIt:1822
Iter:10	 Temp:6.5	 My:-10.0	 Time:2070	 ResultTime:2068	 Fitness:-4	 GlobIt:1375
Iter:10	 Temp:6.5	 My:-10.0	 Time:1448	 ResultTime:1446	 Fitness:-4	 GlobIt:954
Iter:10	 Temp:6.5	 My:-10.0	 Time:2210	 ResultTime:2210	 Fitness:-4	 GlobIt:1456
Iter:10	 Temp:6.5	 My:-10.0	 Time:2346	 ResultTime:2344	 Fitness:-4	 GlobIt:1549
Iter:10	 Temp:6.5	 My:-10.0	 Time:2484	 ResultTime:2482	 Fitness:-4	 GlobIt:1638
Iter:10	 Temp:6.5	 My:-10.0	 Time:1147	 ResultTime:1145	 Fitness:-4	 GlobIt:760
Iter:10	 Temp:6.5	 My:-10.0	 Time:9937	 ResultTime:9937	 Fitness:-4	 GlobIt:6581
Iter:10	 Temp:6.5	 My:-10.0	 Time:3049	 ResultTime:3049	 Fitness:-4	 GlobIt:2007
Iter:10	 Temp:6.5	 My:-10.0	 Time:4084	 ResultTime:4082	 Fitness:-3	 GlobIt:2708
Iter:10	 Temp:6.5	 My:-11.0	 Time:2816	 ResultTime:2816	 Fitness:-4	 GlobIt:1864
Iter:10	 Temp:6.5	 My:-11.0	 Time:2392	 ResultTime:2390	 Fitness:-4	 GlobIt:1576
Iter:10	 Temp:6.5	 My:-11.0	 Time:2728	 ResultTime:2726	 Fitness:-4	 GlobIt:1742
Iter:10	 Temp:6.5	 My:-11.0	 Time:2803	 ResultTime:2803	 Fitness:-4	 GlobIt:1862
Iter:10	 Temp:6.5	 My:-11.0	 Time:4888	 ResultTime:4888	 Fitness:-3	 GlobIt:3239
Iter:10	 Temp:6.5	 My:-11.0	 Time:1831	 ResultTime:1831	 Fitness:-4	 GlobIt:1215
Iter:10	 Temp:6.5	 My:-11.0	 Time:4963	 ResultTime:4963	 Fitness:-4	 GlobIt:3272
Iter:10	 Temp:6.5	 My:-11.0	 Time:1557	 ResultTime:1557	 Fitness:-4	 GlobIt:1031
Iter:10	 Temp:6.5	 My:-11.0	 Time:1735	 ResultTime:1733	 Fitness:-4	 GlobIt:1152
Iter:10	 Temp:10.0	 My:-7.0	 Time:2522	 ResultTime:2522	 Fitness:-4	 GlobIt:1664
Iter:10	 Temp:10.0	 My:-7.0	 Time:2390	 ResultTime:2390	 Fitness:-4	 GlobIt:1574
Iter:10	 Temp:10.0	 My:-7.0	 Time:3038	 ResultTime:3038	 Fitness:-4	 GlobIt:2013
Iter:10	 Temp:10.0	 My:-7.0	 Time:2284	 ResultTime:2284	 Fitness:-4	 GlobIt:1513
Iter:10	 Temp:10.0	 My:-7.0	 Time:1713	 ResultTime:1713	 Fitness:-4	 GlobIt:1137
Iter:10	 Temp:10.0	 My:-7.0	 Time:6583	 ResultTime:6581	 Fitness:-4	 GlobIt:4345
Iter:10	 Temp:10.0	 My:-7.0	 Time:4114	 ResultTime:4114	 Fitness:-4	 GlobIt:2733
Iter:10	 Temp:10.0	 My:-7.0	 Time:2594	 ResultTime:2594	 Fitness:-4	 GlobIt:1722
Iter:10	 Temp:10.0	 My:-7.0	 Time:2892	 ResultTime:2890	 Fitness:-4	 GlobIt:1905
Iter:10	 Temp:10.0	 My:-8.0	 Time:1335	 ResultTime:1333	 Fitness:-4	 GlobIt:883
Iter:10	 Temp:10.0	 My:-8.0	 Time:2138	 ResultTime:2136	 Fitness:-4	 GlobIt:1416
Iter:10	 Temp:10.0	 My:-8.0	 Time:1335	 ResultTime:1335	 Fitness:-4	 GlobIt:884
Iter:10	 Temp:10.0	 My:-8.0	 Time:2832	 ResultTime:2830	 Fitness:-4	 GlobIt:1871
Iter:10	 Temp:10.0	 My:-8.0	 Time:2297	 ResultTime:2295	 Fitness:-3	 GlobIt:1508
Iter:10	 Temp:10.0	 My:-8.0	 Time:1067	 ResultTime:1067	 Fitness:-4	 GlobIt:698
Iter:10	 Temp:10.0	 My:-8.0	 Time:1812	 ResultTime:1812	 Fitness:-4	 GlobIt:1186
Iter:10	 Temp:10.0	 My:-8.0	 Time:1758	 ResultTime:1756	 Fitness:-4	 GlobIt:1161
Iter:10	 Temp:10.0	 My:-8.0	 Time:2385	 ResultTime:2385	 Fitness:-4	 GlobIt:1576
Iter:10	 Temp:10.0	 My:-9.0	 Time:3268	 ResultTime:3268	 Fitness:-4	 GlobIt:2163
