Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:8100	 ResultTime:8099	 Fitness:0	 GlobIt:7751
Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:10317	 ResultTime:10316	 Fitness:0	 GlobIt:9855
Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:11901	 ResultTime:11900	 Fitness:0	 GlobIt:11018
Iter:10	 Temp:43.0	 My:-0.00683	 Time:4382	 ResultTime:4381	 Fitness:0	 GlobIt:4173
Iter:10	 Temp:43.0	 My:-0.00683	 Time:2889	 ResultTime:2888	 Fitness:0	 GlobIt:2754
Iter:10	 Temp:43.0	 My:-0.00683	 Time:2415	 ResultTime:2414	 Fitness:0	 GlobIt:2294
Iter:10	 Temp:43.0	 My:-0.00683	 Time:2489	 ResultTime:2488	 Fitness:0	 GlobIt:2377
Iter:10	 Temp:43.0	 My:-0.00683	 Time:3520	 ResultTime:3519	 Fitness:0	 GlobIt:3335
Iter:10	 Temp:100.0	 My:-6.83E-6	 Time:60001	 ResultTime:57314	 Fitness:-2128	 GlobIt:56917
Iter:10	 Temp:100.0	 My:-6.83E-6	 Time:60001	 ResultTime:36555	 Fitness:-2177	 GlobIt:57032
Iter:10	 Temp:100.0	 My:-6.83E-6	 Time:60002	 ResultTime:58105	 Fitness:-2094	 GlobIt:56797
Iter:10	 Temp:100.0	 My:-6.83E-6	 Time:60001	 ResultTime:23779	 Fitness:-1954	 GlobIt:57029
Iter:10	 Temp:100.0	 My:-6.83E-6	 Time:60001	 ResultTime:42519	 Fitness:-2007	 GlobIt:56937
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:60001	 ResultTime:53672	 Fitness:-1	 GlobIt:56988
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:60001	 ResultTime:47605	 Fitness:-1	 GlobIt:57236
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:59075	 ResultTime:59075	 Fitness:0	 GlobIt:56271
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:51873	 ResultTime:51873	 Fitness:0	 GlobIt:49238
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:52594	 ResultTime:52593	 Fitness:0	 GlobIt:50123
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:9533	 ResultTime:9532	 Fitness:0	 GlobIt:9106
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:21895	 ResultTime:21895	 Fitness:0	 GlobIt:20280
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:10964	 ResultTime:10964	 Fitness:0	 GlobIt:10514
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:12439	 ResultTime:12438	 Fitness:0	 GlobIt:11855
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:10656	 ResultTime:10656	 Fitness:0	 GlobIt:9938
Iter:10	 Temp:100.0	 My:-0.00683	 Time:3552	 ResultTime:3552	 Fitness:0	 GlobIt:3308
Iter:10	 Temp:100.0	 My:-0.00683	 Time:1908	 ResultTime:1908	 Fitness:0	 GlobIt:1815
Iter:10	 Temp:100.0	 My:-0.00683	 Time:4011	 ResultTime:4010	 Fitness:0	 GlobIt:3814
Iter:10	 Temp:100.0	 My:-0.00683	 Time:2378	 ResultTime:2377	 Fitness:0	 GlobIt:2271
Iter:10	 Temp:100.0	 My:-0.00683	 Time:8657	 ResultTime:8657	 Fitness:0	 GlobIt:8293
