Iter:10	 Temp:4.3	 My:-0.00683	 Time:120002	 ResultTime:17702	 Fitness:-1	 GlobIt:68332
Iter:10	 Temp:4.3	 My:-0.00683	 Time:120001	 ResultTime:17016	 Fitness:-1	 GlobIt:68703
Iter:10	 Temp:43.0	 My:-6.83E-5	 Time:120002	 ResultTime:108648	 Fitness:-2	 GlobIt:68405
Iter:10	 Temp:43.0	 My:-6.83E-5	 Time:120001	 ResultTime:113024	 Fitness:-2	 GlobIt:68456
Iter:10	 Temp:43.0	 My:-6.83E-5	 Time:120002	 ResultTime:88420	 Fitness:-2	 GlobIt:68465
Iter:10	 Temp:43.0	 My:-6.83E-5	 Time:120001	 ResultTime:111693	 Fitness:-3	 GlobIt:68218
Iter:10	 Temp:43.0	 My:-6.83E-5	 Time:120001	 ResultTime:96945	 Fitness:-3	 GlobIt:68239
Iter:10	 Temp:43.0	 My:-6.83E-5	 Time:120002	 ResultTime:83639	 Fitness:-2	 GlobIt:68384
Iter:10	 Temp:43.0	 My:-6.83E-5	 Time:120001	 ResultTime:114777	 Fitness:-2	 GlobIt:68444
Iter:10	 Temp:43.0	 My:-6.83E-5	 Time:120001	 ResultTime:118050	 Fitness:-2	 GlobIt:68096
Iter:10	 Temp:43.0	 My:-6.83E-5	 Time:120002	 ResultTime:77965	 Fitness:-3	 GlobIt:68192
Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:120002	 ResultTime:36179	 Fitness:-1	 GlobIt:68542
Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:120002	 ResultTime:15788	 Fitness:-1	 GlobIt:68556
Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:120002	 ResultTime:20935	 Fitness:-1	 GlobIt:68286
Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:120001	 ResultTime:35729	 Fitness:-1	 GlobIt:68514
Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:120001	 ResultTime:40276	 Fitness:-1	 GlobIt:68652
Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:120001	 ResultTime:63010	 Fitness:-1	 GlobIt:68401
Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:120002	 ResultTime:41789	 Fitness:-1	 GlobIt:68344
Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:120002	 ResultTime:28437	 Fitness:-1	 GlobIt:68540
Iter:10	 Temp:43.0	 My:-6.83E-4	 Time:120001	 ResultTime:62068	 Fitness:-1	 GlobIt:68442
Iter:10	 Temp:43.0	 My:-0.00683	 Time:120001	 ResultTime:17669	 Fitness:-1	 GlobIt:68305
Iter:10	 Temp:43.0	 My:-0.00683	 Time:120001	 ResultTime:36833	 Fitness:-1	 GlobIt:68514
Iter:10	 Temp:43.0	 My:-0.00683	 Time:120001	 ResultTime:16539	 Fitness:-1	 GlobIt:68577
Iter:10	 Temp:43.0	 My:-0.00683	 Time:120001	 ResultTime:11912	 Fitness:-1	 GlobIt:68545
Iter:10	 Temp:43.0	 My:-0.00683	 Time:120001	 ResultTime:29852	 Fitness:-1	 GlobIt:68440
Iter:10	 Temp:43.0	 My:-0.00683	 Time:120001	 ResultTime:29358	 Fitness:-1	 GlobIt:68625
Iter:10	 Temp:43.0	 My:-0.00683	 Time:120001	 ResultTime:34206	 Fitness:-1	 GlobIt:68454
Iter:10	 Temp:43.0	 My:-0.00683	 Time:120002	 ResultTime:25642	 Fitness:-1	 GlobIt:68347
Iter:10	 Temp:43.0	 My:-0.00683	 Time:120002	 ResultTime:40028	 Fitness:-1	 GlobIt:68241
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:120001	 ResultTime:97733	 Fitness:-3	 GlobIt:68092
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:120001	 ResultTime:88013	 Fitness:-4	 GlobIt:68151
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:120001	 ResultTime:111234	 Fitness:-3	 GlobIt:68292
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:120001	 ResultTime:103493	 Fitness:-3	 GlobIt:68483
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:120002	 ResultTime:107423	 Fitness:-3	 GlobIt:68372
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:120001	 ResultTime:119629	 Fitness:-3	 GlobIt:68316
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:120002	 ResultTime:111556	 Fitness:-3	 GlobIt:68252
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:120001	 ResultTime:92290	 Fitness:-4	 GlobIt:68157
Iter:10	 Temp:100.0	 My:-6.83E-5	 Time:120004	 ResultTime:109405	 Fitness:-2	 GlobIt:68204
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:120001	 ResultTime:50528	 Fitness:-1	 GlobIt:68378
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:120001	 ResultTime:115021	 Fitness:-1	 GlobIt:68471
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:120001	 ResultTime:44961	 Fitness:-1	 GlobIt:68519
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:120001	 ResultTime:44299	 Fitness:-1	 GlobIt:68311
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:120001	 ResultTime:48642	 Fitness:-1	 GlobIt:68345
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:120002	 ResultTime:17744	 Fitness:-1	 GlobIt:68525
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:120001	 ResultTime:20519	 Fitness:-1	 GlobIt:68564
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:120002	 ResultTime:50880	 Fitness:-1	 GlobIt:68273
Iter:10	 Temp:100.0	 My:-6.83E-4	 Time:120001	 ResultTime:43747	 Fitness:-1	 GlobIt:68379
Iter:10	 Temp:100.0	 My:-0.00683	 Time:120002	 ResultTime:26272	 Fitness:-1	 GlobIt:68439
Iter:10	 Temp:100.0	 My:-0.00683	 Time:120002	 ResultTime:41313	 Fitness:-1	 GlobIt:68389
Iter:10	 Temp:100.0	 My:-0.00683	 Time:120001	 ResultTime:66938	 Fitness:-1	 GlobIt:68334
Iter:10	 Temp:100.0	 My:-0.00683	 Time:120002	 ResultTime:11072	 Fitness:-1	 GlobIt:68452
Iter:10	 Temp:100.0	 My:-0.00683	 Time:120001	 ResultTime:23849	 Fitness:-1	 GlobIt:68494
Iter:10	 Temp:100.0	 My:-0.00683	 Time:120001	 ResultTime:24558	 Fitness:-1	 GlobIt:68576
Iter:10	 Temp:100.0	 My:-0.00683	 Time:120001	 ResultTime:33365	 Fitness:-1	 GlobIt:68426
