Iter:10	 startProb:0.05	 endProb:0.01	 Temp:1.6022793633376036	 My:-2.149954627214762E-5	 Time:120002	 ResultTime:115611	 Fitness:-40	 GlobIt:57120	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.01	 Temp:1.6022793633376036	 My:-2.149954627214762E-5	 Time:120002	 ResultTime:119450	 Fitness:-38	 GlobIt:57191	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.01	 Temp:1.6022793633376036	 My:-2.149954627214762E-5	 Time:120002	 ResultTime:118928	 Fitness:-45	 GlobIt:57052	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.01	 Temp:1.6022793633376036	 My:-2.149954627214762E-5	 Time:120002	 ResultTime:110830	 Fitness:-33	 GlobIt:57361	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.01	 Temp:1.6022793633376036	 My:-2.149954627214762E-5	 Time:120002	 ResultTime:112272	 Fitness:-37	 GlobIt:56967	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.001	 Temp:1.6022793633376036	 My:-4.177280167755584E-5	 Time:120002	 ResultTime:116969	 Fitness:-31	 GlobIt:57923	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.001	 Temp:1.6022793633376036	 My:-4.177280167755584E-5	 Time:120002	 ResultTime:114628	 Fitness:-24	 GlobIt:57934	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.001	 Temp:1.6022793633376036	 My:-4.177280167755584E-5	 Time:120002	 ResultTime:112398	 Fitness:-21	 GlobIt:57717	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.001	 Temp:1.6022793633376036	 My:-4.177280167755584E-5	 Time:120002	 ResultTime:103278	 Fitness:-29	 GlobIt:58165	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.001	 Temp:1.6022793633376036	 My:-4.177280167755584E-5	 Time:120002	 ResultTime:110901	 Fitness:-21	 GlobIt:57654	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.001	 Temp:1.6022793633376036	 My:-4.177280167755584E-5	 Time:120002	 ResultTime:115395	 Fitness:-20	 GlobIt:57914	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.001	 Temp:1.6022793633376036	 My:-4.177280167755584E-5	 Time:120004	 ResultTime:77141	 Fitness:-21	 GlobIt:57648	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.001	 Temp:1.6022793633376036	 My:-4.177280167755584E-5	 Time:120001	 ResultTime:117166	 Fitness:-21	 GlobIt:57796	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:0.001	 Temp:1.6022793633376036	 My:-4.177280167755584E-5	 Time:120002	 ResultTime:115436	 Fitness:-19	 GlobIt:58099	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:1.0E-4	 Temp:1.6022793633376036	 My:-5.615690530014489E-5	 Time:120004	 ResultTime:116701	 Fitness:-22	 GlobIt:58580	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:1.0E-4	 Temp:1.6022793633376036	 My:-5.615690530014489E-5	 Time:120002	 ResultTime:117897	 Fitness:-17	 GlobIt:58085	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:1.0E-4	 Temp:1.6022793633376036	 My:-5.615690530014489E-5	 Time:120001	 ResultTime:107086	 Fitness:-18	 GlobIt:58291	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:1.0E-4	 Temp:1.6022793633376036	 My:-5.615690530014489E-5	 Time:120001	 ResultTime:112423	 Fitness:-21	 GlobIt:58297	 Hard broken:0
