 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:60	 Time:120004	 ResultTime:110375	 Fitness:-16187	 Generations:34114	 Hard broken:4
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:60	 Time:120001	 ResultTime:118876	 Fitness:-216	 Generations:35198	 Hard broken:0
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:60	 Time:120002	 ResultTime:118916	 Fitness:-207	 Generations:33601	 Hard broken:0
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:60	 Time:120002	 ResultTime:111411	 Fitness:-8187	 Generations:34241	 Hard broken:2
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:60	 Time:120003	 ResultTime:104647	 Fitness:-4198	 Generations:35136	 Hard broken:1
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:60	 Time:120004	 ResultTime:119304	 Fitness:-8227	 Generations:34427	 Hard broken:2
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:60	 Time:120004	 ResultTime:93999	 Fitness:-12196	 Generations:16261	 Hard broken:3
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:60	 Time:120001	 ResultTime:100958	 Fitness:-198	 Generations:16590	 Hard broken:0
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:60	 Time:120006	 ResultTime:106274	 Fitness:-223	 Generations:16348	 Hard broken:0
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:60	 Time:120006	 ResultTime:96110	 Fitness:-8198	 Generations:16662	 Hard broken:2
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:60	 Time:120001	 ResultTime:116312	 Fitness:-4193	 Generations:17013	 Hard broken:1
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:60	 Time:120006	 ResultTime:116692	 Fitness:-12194	 Generations:16945	 Hard broken:3
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:60	 Time:120007	 ResultTime:109142	 Fitness:-8190	 Generations:16501	 Hard broken:2
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:60	 Time:120006	 ResultTime:111028	 Fitness:-191	 Generations:17008	 Hard broken:0
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:60	 Time:120004	 ResultTime:119744	 Fitness:-16231	 Generations:16538	 Hard broken:4
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:60	 Time:120005	 ResultTime:112969	 Fitness:-196	 Generations:11333	 Hard broken:0
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:60	 Time:120006	 ResultTime:113683	 Fitness:-8212	 Generations:11170	 Hard broken:2
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:60	 Time:120007	 ResultTime:109416	 Fitness:-233	 Generations:11057	 Hard broken:0
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:60	 Time:120004	 ResultTime:119396	 Fitness:-10230	 Generations:11274	 Hard broken:3
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:60	 Time:120004	 ResultTime:116701	 Fitness:-12212	 Generations:11168	 Hard broken:3
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:60	 Time:120006	 ResultTime:118724	 Fitness:-8226	 Generations:11014	 Hard broken:2
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:60	 Time:120002	 ResultTime:99347	 Fitness:-8190	 Generations:11518	 Hard broken:2
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:60	 Time:120005	 ResultTime:108672	 Fitness:-4201	 Generations:11061	 Hard broken:1
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:60	 Time:120004	 ResultTime:112562	 Fitness:-8209	 Generations:11076	 Hard broken:2
